source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,21,tbl-64.md,6,Rio de Janeiro,Companhia Fiat Lux,Porto Alegre,—,1891
all_tables.pdf,21,tbl-64.md,7,Rio de Janeiro,Governo do Estado do Rio Grande do Sul,Rio Grande,—,1918
all_tables.pdf,21,tbl-64.md,8,Rio de Janeiro,Frederico Ernesto Wunderlich,Rio Pardo,—,1911
all_tables.pdf,21,tbl-64.md,9,Rio de Janeiro,Municipalidade de Rosario,Rosario,—,1914
all_tables.pdf,21,tbl-64.md,10,Rio de Janeiro,Companhia Telephonica Rio Grandense,Sant'Anna do Livramento,—,1905
all_tables.pdf,21,tbl-64.md,11,Rio de Janeiro,Municipalidade de Santa Cruz,Santa Cruz,—,1906
all_tables.pdf,21,tbl-64.md,12,Rio de Janeiro,Companhia Santa Mariense de Luz Electrica,Santa Maria da Bocca do Monte,—,1898
all_tables.pdf,21,tbl-64.md,13,Rio de Janeiro,Companhia Luz Electrica São Pedrense,» » » » » »,—,1920
all_tables.pdf,21,tbl-64.md,14,Rio de Janeiro,Municipalidade de Santa Victoria do Palmar,Santa Victoria do Palmar,—,1908
all_tables.pdf,21,tbl-64.md,15,Rio de Janeiro,Roberto Freis,Santo Angelo,—,1920
all_tables.pdf,21,tbl-64.md,16,Rio de Janeiro,Municipalidade de São Francisco de Assis,São Francisco de Assis,—,1912
all_tables.pdf,21,tbl-64.md,17,Rio de Janeiro,Irmãos Corso & Companhia,São Francisco de Paula de Cima da Serra,—,1920
all_tables.pdf,21,tbl-64.md,18,Rio de Janeiro,Companhia Estrada de Ferro e Minas de São Jeronymo,São Jeronymo,—,1912
all_tables.pdf,21,tbl-64.md,19,Rio de Janeiro,Jorge Franke,São João Baptista de Camaquam,—,1920
all_tables.pdf,21,tbl-64.md,20,Rio de Janeiro,Municipalidade de São João do Montenegro,São João do Montenegro,—,1919
all_tables.pdf,21,tbl-64.md,21,Rio de Janeiro,Municipalidade de São Leopoldo,São Leopoldo,Picada 18,1913
